Fourth,Isolate_Count_Sum,Common Name
Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus conspicillatus,1,Australian pelican
Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus philippensis,1,Spot-billed pelican
Pelecaniformes-Threskiornithidae-Eudocimus-Eudocimus ruber,1,Scarlet ibis
Phoenicopteriformes-Phoenicopteridae-Phoeniconaias-Phoeniconaias minor,1,Lesser flamingo
Piciformes-Megalaimidae-Psilopogon-Psilopogon virens,1,Great barbet
Piciformes-Picidae-Campether-Campethera caroli,1,Brown-eared woodpecker
Podicipediformes-Podicipedidae-Aechmophorus-Aechmophorus occidentalis,1,Western grebe
Procellariiformes-Procellariidae-Puffinus-Puffinus puffinus,1,Manx shearwater
Psittaciformes-Psittacidae-Amazona-Amazona albifrons,1,White-fronted parrot
Psittaciformes-Psittacidae-Amazona-Amazona oratrix,1,Yellow-headed amazon
Pterocliformes-Pteroclidae-Syrrhaptes-Syrrhaptes paradoxus,1,Pallas's sandgrouse
Strigiformes-Strigidae-Asio-Asio flammeus,1,Short-eared owl
Strigiformes-Strigidae-Megascops-Megascops kennicottii,1,Western screech owl
Strigiformes-Strigidae-Otus-Otus scops,1,Eurasian scops-owl
Strigiformes-Strigidae-Strix-Strix uralensis,1,Ural owl
Struthioniformes-Struthionidae-Struthio-Struthio camelus,1,Common ostrich
Struthioniformes-Tinamidae-Rhynchotus-Rhynchotus rufescens,1,Red-winged tinamou
Suliformes-Phalacrocoracidae-Phalacrocorax-Phalacrocorax brasilianum,1,Neotropic cormorant
