Strain_Host_Check_Dictionary,strain_host_use,HostCategory,Commonname,Species,Order-Family-Genus-Species,Taxonomic_Level,Isolate_Count_Sum
pink footed goose,pink footed goose,wildbird,Pink-footed goose,Anser brachyrhynchus,Anseriformes-Anatidae-Anser-Anser brachyrhynchus,Species,17
lesser snow goose,lesser snow goose,wildbird,Snow goose,Anser caerulescens,Anseriformes-Anatidae-Anser-Anser caerulescens,Species,7
snow goose,snow goose,wildbird,Snow goose,Anser caerulescens,Anseriformes-Anatidae-Anser-Anser caerulescens,Species,49
emperor goose,emperor goose,wildbird,Emperor goose,Anser canagicus,Anseriformes-Anatidae-Anser-Anser canagicus,Species,53
anser cygnoides,anser cygnoides,wildbird,Swan goose,Anser cygnoides,Anseriformes-Anatidae-Anser-Anser cygnoides,Species,3
swan goose,swan goose,wildbird,Swan goose,Anser cygnoides,Anseriformes-Anatidae-Anser-Anser cygnoides,Species,3
lesser white fronted goose,lesser white fronted goose,wildbird,Lesser white-fronted goose,Anser erythropus,Anseriformes-Anatidae-Anser-Anser erythropus,Species,2
anser fabalis,anser fabalis,wildbird,Bean goose,Anser fabalis,Anseriformes-Anatidae-Anser-Anser fabalis,Species,36
bean goose,bean goose,wildbird,Bean goose,Anser fabalis,Anseriformes-Anatidae-Anser-Anser fabalis,Species,111
bean goose (anser fabalis),bean goose,wildbird,Bean goose,Anser fabalis,Anseriformes-Anatidae-Anser-Anser fabalis,Species,1
bean goose(anser fabalis),bean goose,wildbird,Bean goose,Anser fabalis,Anseriformes-Anatidae-Anser-Anser fabalis,Species,11
taiga bean goose,taiga bean goose,wildbird,Bean goose,Anser fabalis,Anseriformes-Anatidae-Anser-Anser fabalis,Species,1
anser indicus,anser indicus,wildbird,Bar-headed goose,Anser indicus,Anseriformes-Anatidae-Anser-Anser indicus,Species,1
bar headed goose,bar headed goose,wildbird,Bar-headed goose,Anser indicus,Anseriformes-Anatidae-Anser-Anser indicus,Species,177
ross's goose,ross's goose,wildbird,Ross's goose,Anser rossii,Anseriformes-Anatidae-Anser-Anser rossii,Species,5
tundra bean goose,tundra bean goose,wildbird,Tundra bean goose,Anser serrirostris,Anseriformes-Anatidae-Anser-Anser serrirostris,Species,2
anser,anser,wildbird,NA,NA,Anseriformes-Anatidae-Anser-NA,Genus,1
anser egypticus,anser egypticus,wildbird,NA,NA,Anseriformes-Anatidae-Anser-NA,Genus,1
lesser scaup,lesser scaup,wildbird,Lesser scaup,Aythya affinis,Anseriformes-Anatidae-Aythya-Aythya affinis,Species,20
steamer duck,steamerduck,wildbird,NA,NA,Anseriformes-Anatidae-Tachyeres-NA,Genus,1
redhead,redhead,wildbird,Redhead,Aythya americana,Anseriformes-Anatidae-Aythya-Aythya americana,Species,19
shelduck,shelduck,wildbird,NA,NA,Anseriformes-Anatidae-Tadorna-NA,Genus,3
shellduck,shelduck,wildbird,NA,NA,Anseriformes-Anatidae-Tadorna-NA,Genus,1
baer's pochard,baer's pochard,wildbird,Baer's pochard,Aythya baeri,Anseriformes-Anatidae-Aythya-Aythya baeri,Species,1
mandarin duck,mandarin duck,wildbird,Mandarin duck,Aix galericulata,Anseriformes-Anatidae-Aix-Aix galericulata,Species,71
common pochard,common pochard,wildbird,Common pochard,Aythya ferina,Anseriformes-Anatidae-Aythya-Aythya ferina,Species,23
common porchard,common pochard,wildbird,Common pochard,Aythya ferina,Anseriformes-Anatidae-Aythya-Aythya ferina,Species,3
aythya fuligula,aythya fuligula,wildbird,Tufted duck,Aythya fuligula,Anseriformes-Anatidae-Aythya-Aythya fuligula,Species,5
carolina duck,carolina duck,wildbird,Wood duck,Aix sponsa,Anseriformes-Anatidae-Aix-Aix sponsa,Species,1
greater scaup,greater scaup,wildbird,Greater scaup,Aythya marila,Anseriformes-Anatidae-Aythya-Aythya marila,Species,15
wood duck,wood duck,wildbird,Wood duck,Aix sponsa,Anseriformes-Anatidae-Aix-Aix sponsa,Species,23
white eyed pochard,white eyed pochard,wildbird,Ferruginous duck,Aythya nyroca,Anseriformes-Anatidae-Aythya-Aythya nyroca,Species,4
canvasback,canvasback,wildbird,Canvasback,Aythya valisineria,Anseriformes-Anatidae-Aythya-Aythya valisineria,Species,4
northern pintail duck,northern pintail duck,wildbird,Northern pintail,Anas acuta,Anseriformes-Anatidae-Anas-Anas acuta,Species,5
brant,brant goose,wildbird,Brent goose,Branta bernicla,Anseriformes-Anatidae-Branta-Branta bernicla,Species,7
brant goose,brant goose,wildbird,Brent goose,Branta bernicla,Anseriformes-Anatidae-Branta-Branta bernicla,Species,3
brent goose,brent goose,wildbird,Brent goose,Branta bernicla,Anseriformes-Anatidae-Branta-Branta bernicla,Species,5
branta canadensis,branta canadensis,wildbird,Canada goose,Branta canadensis,Anseriformes-Anatidae-Branta-Branta canadensis,Species,8
canada goose,canada goose,wildbird,Canada goose,Branta canadensis,Anseriformes-Anatidae-Branta-Branta canadensis,Species,142
canade goose,canada goose,wildbird,Canada goose,Branta canadensis,Anseriformes-Anatidae-Branta-Branta canadensis,Species,1
greater canada goose,greater canada goose,wildbird,Canada goose,Branta canadensis,Anseriformes-Anatidae-Branta-Branta canadensis,Species,2
cackling goose,cackling goose,wildbird,Cackling goose,Branta hutchinsii,Anseriformes-Anatidae-Branta-Branta hutchinsii,Species,24
barnacle,barnacle goose,wildbird,Barnacle goose,Branta leucopsis,Anseriformes-Anatidae-Branta-Branta leucopsis,Species,1
barnacle goose,barnacle goose,wildbird,Barnacle goose,Branta leucopsis,Anseriformes-Anatidae-Branta-Branta leucopsis,Species,144
branta leucopsis,branta leucopsis,wildbird,Barnacle goose,Branta leucopsis,Anseriformes-Anatidae-Branta-Branta leucopsis,Species,2
red breasted goose,red breasted goose,wildbird,Red-breasted goose,Branta ruficollis,Anseriformes-Anatidae-Branta-Branta ruficollis,Species,2
hawaiian goose,hawaiian goose,wildbird,Hawaiian goose,Branta sandvicensis,Anseriformes-Anatidae-Branta-Branta sandvicensis,Species,2
nene goose,nene goose,wildbird,Hawaiian goose,Branta sandvicensis,Anseriformes-Anatidae-Branta-Branta sandvicensis,Species,1
bufflehead,bufflehead,wildbird,Bufflehead,Bucephala albeola,Anseriformes-Anatidae-Bucephala-Bucephala albeola,Species,32
pintail duck,pintail duck,wildbird,Northern Pintail,Anas acuta,Anseriformes-Anatidae-Anas-Anas acuta,Species,42
common golden eye,common goldeneye,wildbird,Common goldeneye,Bucephala clangula,Anseriformes-Anatidae-Bucephala-Bucephala clangula,Species,1
common goldeneye,common goldeneye,wildbird,Common goldeneye,Bucephala clangula,Anseriformes-Anatidae-Bucephala-Bucephala clangula,Species,58
barrow s goldeneye,barrow's goldeneye,wildbird,Barrow's Goldeneye,Bucephala islandica,Anseriformes-Anatidae-Bucephala-Bucephala islandica,Species,1
mottled duck,mottled duck,wildbird,Mottled duck,Anas fulvigula,Anseriformes-Anatidae-Anas-Anas fulvigula,Species,2
muscovy,muscovy,wildbird,Muscovy duck,Cairina moschata,Anseriformes-Anatidae-Cairina-Cairina moschata,Species,40
mallard duck,mallard duck,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,673
mallardduck,mallardduck,wildbird,Mallard,Anas platyrhynchos,Anseriformes-Anatidae-Anas-Anas platyrhynchos,Species,1
american black duck,american black duck,wildbird,American black duck,Anas rubripes,Anseriformes-Anatidae-Anas-Anas rubripes,Species,281
callonetta leucophrys,callonetta leucophrys,wildbird,Ringed teal,Callonetta leucophrys,Anseriformes-Anatidae-Callonetta-Callonetta leucophrys,Species,2
ringed teal,ringed teal,wildbird,Ringed teal,Callonetta leucophrys,Anseriformes-Anatidae-Callonetta-Callonetta leucophrys,Species,1
maned goose,maned goose,wildbird,Maned goose,Chenonetta jubata,Anseriformes-Anatidae-Chenonetta-Chenonetta jubata,Species,1
common black duck,American Black Duck,wildbird,American Black Duck,Anas rubripes,Anseriformes-Anatidae-Anas-Anas rubripes,Species,1
pacific black duck,pacific black duck,wildbird,Pacific black duck,Anas superciliosa,Anseriformes-Anatidae-Anas-Anas superciliosa,Species,5
coscoroba swan,coscoroba swan,wildbird,Coscoroba swan,Coscoroba coscoroba,Anseriformes-Anatidae-Coscoroba-Coscoroba coscoroba,Species,2
black swan,black swan,wildbird,Black swan,Cygnus atratus,Anseriformes-Anatidae-Cygnus-Cygnus atratus,Species,38
cygnus atratus,cygnus atratus,wildbird,Black swan,Cygnus atratus,Anseriformes-Anatidae-Cygnus-Cygnus atratus,Species,2
trumpeter swan,trumpeter swan,wildbird,Trumpeter swan,Cygnus buccinator,Anseriformes-Anatidae-Cygnus-Cygnus buccinator,Species,6
bewick swan,tundra swan,wildbird,Tundra swan,Cygnus columbianus,Anseriformes-Anatidae-Cygnus-Cygnus columbianus,Species,2
bewicks swan,tundra swan,wildbird,Tundra swan,Cygnus columbianus,Anseriformes-Anatidae-Cygnus-Cygnus columbianus,Species,9
bewick's swan,tundra swan,wildbird,Tundra swan,Cygnus columbianus,Anseriformes-Anatidae-Cygnus-Cygnus columbianus,Species,4
cygnus columbianus,cygnus columbianus,wildbird,Tundra swan,Cygnus columbianus,Anseriformes-Anatidae-Cygnus-Cygnus columbianus,Species,13
tundra swan,tundra swan,wildbird,Tundra swan,Cygnus columbianus,Anseriformes-Anatidae-Cygnus-Cygnus columbianus,Species,43
whistling swan,whistling swan,wildbird,Tundra swan,Cygnus columbianus,Anseriformes-Anatidae-Cygnus-Cygnus columbianus,Species,8
whistlingswan,whistlingswan,wildbird,Tundra swan,Cygnus columbianus,Anseriformes-Anatidae-Cygnus-Cygnus columbianus,Species,1
cygnus cygnus,cygnus cygnus,wildbird,Whooper swan,Cygnus cygnus,Anseriformes-Anatidae-Cygnus-Cygnus cygnus,Species,9
whooper swan,whooper swan,wildbird,Whooper swan,Cygnus cygnus,Anseriformes-Anatidae-Cygnus-Cygnus cygnus,Species,248
whooperswan,whooperswan,wildbird,Whooper swan,Cygnus cygnus,Anseriformes-Anatidae-Cygnus-Cygnus cygnus,Species,1
whooping swan,whooping swan,wildbird,Whooper swan,Cygnus cygnus,Anseriformes-Anatidae-Cygnus-Cygnus cygnus,Species,1
black necked swan,black necked swan,wildbird,Black-necked swan,Cygnus melancoryphus,Anseriformes-Anatidae-Cygnus-Cygnus melancoryphus,Species,3
cignus olor,cygnus olor,wildbird,Mute swan,Cygnus olor,Anseriformes-Anatidae-Cygnus-Cygnus olor,Species,1
cygnus olor,cygnus olor,wildbird,Mute swan,Cygnus olor,Anseriformes-Anatidae-Cygnus-Cygnus olor,Species,73
mute swan,mute swan,wildbird,Mute swan,Cygnus olor,Anseriformes-Anatidae-Cygnus-Cygnus olor,Species,417
muteswan,muteswan,wildbird,Mute swan,Cygnus olor,Anseriformes-Anatidae-Cygnus-Cygnus olor,Species,4
juvenile swan,juvenile swan,wildbird,NA,NA,Anseriformes-Anatidae-Cygnus-NA,Genus,1
m swan,swan,wildbird,NA,NA,Anseriformes-Anatidae-Cygnus-NA,Genus,2
swan,swan,wildbird,NA,NA,Anseriformes-Anatidae-Cygnus-NA,Genus,217
w swan,w swan,wildbird,NA,NA,Anseriformes-Anatidae-Cygnus-NA,Genus,1
yellow billed duck,yellow billed duck,wildbird,African yellow-billed duck,Anas undulata,Anseriformes-Anatidae-Anas-Anas undulata,Species,2
red headed duck,red headed duck,wildbird,Redhead,Aythya americana,Anseriformes-Anatidae-Aythya-Aythya americana,Species,2
dendrocygna viduata,dendrocygna viduata,wildbird,White-faced whistling duck,Dendrocygna viduata,Anseriformes-Anatidae-Dendrocygna-Dendrocygna viduata,Species,1
redhead duck,redhead duck,wildbird,Redhead,Aythya americana,Anseriformes-Anatidae-Aythya-Aythya americana,Species,4
redheaded duck,redheaded duck,wildbird,Redhead,Aythya americana,Anseriformes-Anatidae-Aythya-Aythya americana,Species,2
ring necked duck,ring necked duck,wildbird,Ring-necked duck,Aythya collaris,Anseriformes-Anatidae-Aythya-Aythya collaris,Species,28
hooded merganser,hooded merganser,wildbird,Hooded merganser,Lophodytes cucullatus,Anseriformes-Anatidae-Lophodytes-Lophodytes cucullatus,Species,6
tufted duck,tufted duck,wildbird,Tufted duck,Aythya fuligula,Anseriformes-Anatidae-Aythya-Aythya fuligula,Species,62
american widgeon,american widgeon,wildbird,American wigeon,Mareca americana,Anseriformes-Anatidae-Mareca-Mareca americana,Species,8
american wigeon,american wigeon,wildbird,American wigeon,Mareca americana,Anseriformes-Anatidae-Mareca-Mareca americana,Species,122
anas americana,anas americana,wildbird,American wigeon,Mareca americana,Anseriformes-Anatidae-Mareca-Mareca americana,Species,1
anas falcata,anas falcata,wildbird,Falcated duck,Mareca falcata,Anseriformes-Anatidae-Mareca-Mareca falcata,Species,1
falcata teal,falcata teal,wildbird,Falcated duck,Mareca falcata,Anseriformes-Anatidae-Mareca-Mareca falcata,Species,10
ferruginous duck,ferruginous duck,wildbird,Ferruginous duck,Aythya nyroca,Anseriformes-Anatidae-Aythya-Aythya nyroca,Species,1
eurasian wigeon,eurasian wigeon,wildbird,Eurasian wigeon,Mareca penelope,Anseriformes-Anatidae-Mareca-Mareca penelope,Species,104
european wigeon,european wigeon,wildbird,Eurasian wigeon,Mareca penelope,Anseriformes-Anatidae-Mareca-Mareca penelope,Species,1
europian wigeon,european wigeon,wildbird,Eurasian wigeon,Mareca penelope,Anseriformes-Anatidae-Mareca-Mareca penelope,Species,2
chiloe wigeon,chiloe wigeon,wildbird,Chiloe wigeon,Mareca sibilatrix,Anseriformes-Anatidae-Mareca-Mareca sibilatrix,Species,2
anas strepera,anas strepera,wildbird,Gadwall,Mareca strepera,Anseriformes-Anatidae-Mareca-Mareca strepera,Species,1
gadwall,gadwall,wildbird,Gadwall,Mareca strepera,Anseriformes-Anatidae-Mareca-Mareca strepera,Species,88
canvasback duck,canvasback,wildbird,Canvasback,Aythya valisineria,Anseriformes-Anatidae-Aythya-Aythya valisineria,Species,2
bufflehead duck,bufflehead,wildbird,Bufflehead,Bucephala albeola,Anseriformes-Anatidae-Bucephala-Bucephala albeola,Species,1
widgeon,widgeon,wildbird,NA,NA,Anseriformes-Anatidae-Mareca-NA,Genus,3
wigeon,wigeon,wildbird,NA,NA,Anseriformes-Anatidae-Mareca-NA,Genus,12
anas angustirostris,marmaronetta angustirostris,wildbird,Marbled teal,Marmaronetta angustirostris,Anseriformes-Anatidae-Marmaronetta-Marmaronetta angustirostris,Species,1
black scoter,black scoter,wildbird,Black scoter,Melanitta americana,Anseriformes-Anatidae-Melanitta-Melanitta americana,Species,6
white winged scoter,white winged scoter,wildbird,White-winged scoter,Melanitta deglandi,Anseriformes-Anatidae-Melanitta-Melanitta deglandi,Species,3
velvet scoter,velvet scoter,wildbird,Velvet scoter,Melanitta fusca,Anseriformes-Anatidae-Melanitta-Melanitta fusca,Species,5
common scoter,common scoter,wildbird,Common scoter,Melanitta nigra,Anseriformes-Anatidae-Melanitta-Melanitta nigra,Species,2
surf scooter,surf scooter,wildbird,Surf scoter,Melanitta perspicillata,Anseriformes-Anatidae-Melanitta-Melanitta perspicillata,Species,1
surf scoter,surf scoter,wildbird,Surf scoter,Melanitta perspicillata,Anseriformes-Anatidae-Melanitta-Melanitta perspicillata,Species,8
scoter,scoter,wildbird,NA,NA,Anseriformes-Anatidae-Melanitta-NA,Genus,3
mergus albellus,mergus albellus,wildbird,Smew,Mergellus albellus,Anseriformes-Anatidae-Mergus-Mergellus albellus,Species,2
smew,smew,wildbird,Smew,Mergellus albellus,Anseriformes-Anatidae-Mergus-Mergellus albellus,Species,1
common merganser,common merganser,wildbird,Common merganser,Mergus merganser,Anseriformes-Anatidae-Mergus-Mergus merganser,Species,1
goosander,goosander,wildbird,Common merganser,Mergus merganser,Anseriformes-Anatidae-Mergus-Mergus merganser,Species,7
red breasted merganser,red breasted merganser,wildbird,Red-breasted merganser,Mergus serrator,Anseriformes-Anatidae-Mergus-Mergus serrator,Species,1
finch,finch,wildbird,NA,NA,Passeriformes-NA-NA-NA,Order,4
robin,robin,wildbird,NA,NA,Passeriformes-NA-NA-NA,Order,2
sparrow,sparrow,wildbird,NA,NA,Passeriformes-NA-NA-NA,Order,14
macaw,macaw,wildbird,NA,NA,Psittaciformes-NA-NA-NA,Order,2
parakeet,parakeet,wildbird,NA,NA,Psittaciformes-NA-NA-NA,Order,4
parrot,parrot,wildbird,NA,NA,Psittaciformes-NA-NA-NA,Order,7
psittacine,psittacine,wildbird,NA,NA,Psittaciformes-NA-NA-NA,Order,2
owl,owl,wildbird,NA,NA,Strigiformes-NA-NA-NA,Order,12
buzzard,buzzard,wildbird,NA,NA,Accipitriformes-Accipitridae-NA-NA,Family,24
rosy billed pochard,rosy billed pochard,wildbird,Rosy-billed pochard,Netta peposaca,Anseriformes-Anatidae-Netta-Netta peposaca,Species,6
rosybilled pochard,rosybilled pochard,wildbird,Rosy-billed pochard,Netta peposaca,Anseriformes-Anatidae-Netta-Netta peposaca,Species,1
red crested pochard,red crested pochard,wildbird,Red-crested pochard,Netta rufina,Anseriformes-Anatidae-Netta-Netta rufina,Species,2
muscovy  duck,muscovy duck,wildbird,Muscovy duck,Cairina moschata,Anseriformes-Anatidae-Cairina-Cairina moschata,Species,1
muscovy duck,muscovy duck,wildbird,Muscovy duck,Cairina moschata,Anseriformes-Anatidae-Cairina-Cairina moschata,Species,312
spur winged goose,spur winged goose,wildbird,Spur-winged goose,Plectropterus gambensis,Anseriformes-Anatidae-Plectropterus-Plectropterus gambensis,Species,8
stellers eider,stellers eider,wildbird,Steller‘s eider,Polysticta stelleri,Anseriformes-Anatidae-Polysticta-Polysticta stelleri,Species,13
muscovyduck,muscovy duck,wildbird,Muscovy duck,Cairina moschata,Anseriformes-Anatidae-Cairina-Cairina moschata,Species,2
baikai teal,baikal teal,wildbird,Baikal teal,Sibirionetta formosa,Anseriformes-Anatidae-Sibirionetta-Sibirionetta formosa,Species,1
baikal teal,baikal teal,wildbird,Baikal teal,Sibirionetta formosa,Anseriformes-Anatidae-Sibirionetta-Sibirionetta formosa,Species,43
spectacled eider,spectacled eider,wildbird,Spectacled eider,Somateria fischeri,Anseriformes-Anatidae-Somateria-Somateria fischeri,Species,1
common eider,common eider,wildbird,Common eider,Somateria mollissima,Anseriformes-Anatidae-Somateria-Somateria mollissima,Species,21
common eiders,common eider,wildbird,Common eider,Somateria mollissima,Anseriformes-Anatidae-Somateria-Somateria mollissima,Species,2
king eider,king eider,wildbird,King eider,Somateria spectabilis,Anseriformes-Anatidae-Somateria-Somateria spectabilis,Species,7
shoveler,shoveler,wildbird,NA,NA,Anseriformes-Anatidae-Spatula-NA,Genus,63
shoveller,shoveler,wildbird,NA,NA,Anseriformes-Anatidae-Spatula-NA,Genus,6
long tailed duck,long tailed duck,wildbird,Long-tailed duck,Clangula hyemalis,Anseriformes-Anatidae-Clangula-Clangula hyemalis,Species,18
anas clypeata,anas clypeata,wildbird,Northern shoveler,Spatula clypeata,Anseriformes-Anatidae-Spatula-Spatula clypeata,Species,1
northern shoveler,northern shoveler,wildbird,Northern shoveler,Spatula clypeata,Anseriformes-Anatidae-Spatula-Spatula clypeata,Species,403
northern shoveler(spatula clypeata),northern shoveler(spatula clypeata),wildbird,Northern shoveler,Spatula clypeata,Anseriformes-Anatidae-Spatula-Spatula clypeata,Species,1
northern shovelermissouri,northern shoveler,wildbird,Northern shoveler,Spatula clypeata,Anseriformes-Anatidae-Spatula-Spatula clypeata,Species,2
northern shoverl,northern shoverl,wildbird,Northern shoveler,Spatula clypeata,Anseriformes-Anatidae-Spatula-Spatula clypeata,Species,1
northernshoveler,northernshoveler,wildbird,Northern shoveler,Spatula clypeata,Anseriformes-Anatidae-Spatula-Spatula clypeata,Species,1
nothern shoveler,nothern shoveler,wildbird,Northern shoveler,Spatula clypeata,Anseriformes-Anatidae-Spatula-Spatula clypeata,Species,1
anas cyanoptera,anas cyanoptera,wildbird,Cinnamon teal,Spatula cyanoptera,Anseriformes-Anatidae-Spatula-Spatula cyanoptera,Species,1
cinnamon teal,cinnamon teal,wildbird,Cinnamon teal,Spatula cyanoptera,Anseriformes-Anatidae-Spatula-Spatula cyanoptera,Species,38
american blue winged teal,blue-winged teal,wildbird,Blue-winged teal,Spatula discors,Anseriformes-Anatidae-Spatula-Spatula discors,Species,1
anas discors,anas discors,wildbird,Blue-winged teal,Spatula discors,Anseriformes-Anatidae-Spatula-Spatula discors,Species,10
blue winged teal,blue winged teal,wildbird,Blue-winged teal,Spatula discors,Anseriformes-Anatidae-Spatula-Spatula discors,Species,1226
red shoveler,red shoveler,wildbird,Red shoveler,Spatula platalea,Anseriformes-Anatidae-Spatula-Spatula platalea,Species,1
anas querquedula,anas querquedula,wildbird,Garganey,Spatula querquedula,Anseriformes-Anatidae-Spatula-Spatula querquedula,Species,2
garganey,garganey,wildbird,Garganey,Spatula querquedula,Anseriformes-Anatidae-Spatula-Spatula querquedula,Species,24
garganey teal,garganey teal,wildbird,Garganey,Spatula querquedula,Anseriformes-Anatidae-Spatula-Spatula querquedula,Species,1
australian shoveller,australasian shoveler,wildbird,Australasian shoveler,Spatula rhynchotis,Anseriformes-Anatidae-Spatula-Spatula rhynchotis,Species,1
cape shoveller,cape shoveller,wildbird,Cape shoveller,Spatula smithii,Anseriformes-Anatidae-Spatula-Spatula smithii,Species,1
silver teal,silver teal,wildbird,Silver teal,Spatula versicolor,Anseriformes-Anatidae-Spatula-Spatula versicolor,Species,8
longtail duck,longtail duck,wildbird,Long-tailed duck,Clangula hyemalis,Anseriformes-Anatidae-Clangula-Clangula hyemalis,Species,2
black bellied whistling duck,black bellied whistling duck,wildbird,Black-bellied whistling duck,Dendrocygna autumnalis,Anseriformes-Anatidae-Dendrocygna-Dendrocygna autumnalis,Species,2
lesser whistling duck,lesser whistling duck,wildbird,Lesser whistling duck,Dendrocygna javanica,Anseriformes-Anatidae-Dendrocygna-Dendrocygna javanica,Species,3
white faced whistling duck,white faced whistling duck,wildbird,White-faced whistling duck,Dendrocygna viduata,Anseriformes-Anatidae-Dendrocygna-Dendrocygna viduata,Species,3
ruddy sheldrake,ruddy sheldrake,wildbird,Ruddy shelduck,Tadorna ferruginea,Anseriformes-Anatidae-Tadorna-Tadorna ferruginea,Species,1
harlequin duck,harlequin duck,wildbird,Harlequin duck,Histrionicus histrionicus,Anseriformes-Anatidae-Histrionicus-Histrionicus histrionicus,Species,1
pink eared duck,pink eared duck,wildbird,Pink-eared duck,Malacorhynchus membranaceus,Anseriformes-Anatidae-Malacorhynchus-Malacorhynchus membranaceus,Species,3
tadorna tadorna,tadorna tadorna,wildbird,Common shelduck,Tadorna tadorna,Anseriformes-Anatidae-Tadorna-Tadorna tadorna,Species,11
falcated duck,falcated duck,wildbird,Falcated duck,Mareca falcata,Anseriformes-Anatidae-Mareca-Mareca falcata,Species,6
eagle,eagle,wildbird,NA,NA,Accipitriformes-Accipitridae-NA-NA,Family,10
hawk,hawk,wildbird,NA,NA,Accipitriformes-Accipitridae-NA-NA,Family,9
turkey vulture,turkey vulture,wildbird,Turkey vulture,Cathartes aura,Cathartiformes-Cathartidae-Cathartes-Cathartes aura,Species,18
black vulture,american black vulture,wildbird,American black vulture,Coragyps atratus,Cathartiformes-Cathartidae-Coragyps-Coragyps atratus,Species,22
rt hawk,rt hawk,wildbird,NA,NA,Accipitriformes-Accipitridae-NA-NA,Family,1
king vulture,king vulture,wildbird,King vulture,Sarcoramphus papa,Cathartiformes-Cathartidae-Sarcoramphus-Sarcoramphus papa,Species,1
raxorbill,razorbill,wildbird,Razorbill,Alca torda,Charadriiformes-Alcidae-Alca-Alca torda,Species,1
razorbill,razorbill,wildbird,Razorbill,Alca torda,Charadriiformes-Alcidae-Alca-Alca torda,Species,2
guillemot,guillemot,wildbird,NA,NA,Charadriiformes-Alcidae-Cepphus-NA,Genus,5
sea eagle,sea eagle,wildbird,NA,NA,Accipitriformes-Accipitridae-NA-NA,Family,4
bk swan,bk swan,wildbird,NA,NA,Anseriformes-Anatidae-NA-NA,Family,1
murre,murre,wildbird,NA,NA,Charadriiformes-Alcidae-Uria-NA,Genus,3
common murre,common murre,wildbird,Common murre,Uria aalge,Charadriiformes-Alcidae-Uria-Uria aalge,Species,29
thick billed murre,thick billed murre,wildbird,Thick billed murre,Uria lomvia,Charadriiformes-Alcidae-Uria-Uria lomvia,Species,11
stone curlew,stone curlew,wildbird,Stone curlew,Burhinus oedicnemus,Charadriiformes-Burhinidae-Burhinus-Burhinus oedicnemus,Species,3
pacific golden plover,pacific golden plover,wildbird,Pacific golden plover,Pluvialis fulva,Charadriiformes-Charadriidae-Pluvialis-Pluvialis fulva,Species,1
gray plover,gray plover,wildbird,Grey plover,Pluvialis squatarola,Charadriiformes-Charadriidae-Pluvialis-Pluvialis squatarola,Species,1
spur winged lapwing,spur winged lapwing,wildbird,Spur-winged lapwing,Vanellus spinosus,Charadriiformes-Charadriidae-Vanellus-Vanellus spinosus,Species,1
northern lapwing,northern lapwing,wildbird,Northern lapwing,Vanellus vanellus,Charadriiformes-Charadriidae-Vanellus-Vanellus vanellus,Species,3
chionis albus,chionis albus,wildbird,Snowy Sheathbill,Chionis albus,Charadriiformes-Chionidae-Chionis-Chionis albus,Species,1
snowy sheathbill,snowy sheathbill,wildbird,Snowy sheathbill,Chionis albus,Charadriiformes-Chionidae-Chionis-Chionis albus,Species,1
blackish oystercatcher,blackish oystercatcher,wildbird,Blackish oystercatcher,Haematopus ater,Charadriiformes-Haematopodidae-Haematopus-Haematopus ater,Species,2
eurasian oystercatcher,eurasian oystercatcher,wildbird,Eurasian oystercatcher,Haematopus ostralegus,Charadriiformes-Haematopodidae-Haematopus-Haematopus ostralegus,Species,6
american oystercatcher,american oystercatcher,wildbird,American oystercatcher,Haematopus palliatus,Charadriiformes-Haematopodidae-Haematopus-Haematopus palliatus,Species,1
oyster catcher,oystercatcher,wildbird,NA,NA,Charadriiformes-Haematopodidae-Haematopus-NA,Genus,1
oystercatcher,oystercatcher,wildbird,NA,NA,Charadriiformes-Haematopodidae-Haematopus-NA,Genus,6
anous tenuirostris,anous tenuirostris,wildbird,Lesser noddy,Anous tenuirostris,Charadriiformes-Laridae-Anous-Anous tenuirostris,Species,7
chlidonias hybrida,chlidonias hybrida,wildbird,Whiskered tern,Chlidonias hybrida,Charadriiformes-Laridae-Chlidonias-Chlidonias hybrida,Species,1
whiskered tern,whiskered tern,wildbird,Whiskered tern,Chlidonias hybrida,Charadriiformes-Laridae-Chlidonias-Chlidonias hybrida,Species,2
brown head gull,brown headed gull,wildbird,Brown-headed gull,Chroicocephalus brunnicephalus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus brunnicephalus,Species,1
brown headed gull,brown headed gull,wildbird,Brown-headed gull,Chroicocephalus brunnicephalus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus brunnicephalus,Species,29
grey headed gull,grey headed gull,wildbird,Grey-headed gull,Chroicocephalus cirrocephalus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus cirrocephalus,Species,2
slender billed gull,slender billed gull,wildbird,Slender-billed gull,Chroicocephalus genei,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus genei,Species,5
brown hooded gull,brown hooded gull,wildbird,Brown-hooded gull,Chroicocephalus maculipennis,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus maculipennis,Species,2
silver gull,silver gull,wildbird,Silver gull,Chroicocephalus novaehollandiae,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus novaehollandiae,Species,1
back headed gull,black headed gull,wildbird,Black-headed gull,Chroicocephalus ridibundus,Charadriiformes-Laridae-Chroicocephalus-Chroicocephalus ridibundus,Species,2
