Strain_Host_Check_Dictionary,strain_host_use,HostCategory,Commonname,Species,Order-Family-Genus-Species,Taxonomic_Level,Isolate_Count_Sum
hill myna,hill myna,wildbird,NA,NA,Passeriformes-Sturnidae-Gracula-NA,Genus,1
reed warbler,reed warbler,wildbird,NA,NA,Passeriformes-Acrocephalidae-NA-NA,Family,1
double crested cormorant,double crested cormorant,wildbird,Double-crested cormorant,Phalacrocorax auritum,Suliformes-Phalacrocoracidae-Phalacrocorax-Phalacrocorax auritum,Species,4
guanay cormorant,guanay cormorant,wildbird,Guanay cormorant,Phalacrocorax bougainvillii,Suliformes-Phalacrocoracidae-Phalacrocorax-Phalacrocorax bougainvillii,Species,5
neotropic cormorant,neotropic cormorant,wildbird,Neotropic cormorant,Phalacrocorax brasilianum,Suliformes-Phalacrocoracidae-Phalacrocorax-Phalacrocorax brasilianum,Species,1
common cormorant,common cormorant,wildbird,Great Cormorant,Phalacrocorax carbo,Suliformes-Phalacrocoracidae-Phalacrocorax-Phalacrocorax carbo,Species,6
great cormorant,great cormorant,wildbird,Great cormorant,Phalacrocorax carbo,Suliformes-Phalacrocoracidae-Phalacrocorax-Phalacrocorax carbo,Species,21
phalacrocorax carbo,phalacrocorax carbo,wildbird,Great cormorant,Phalacrocorax carbo,Suliformes-Phalacrocoracidae-Phalacrocorax-Phalacrocorax carbo,Species,2
morus bassanus,morus bassanus,wildbird,Northern gannet,Morus bassanus,Suliformes-Sulidae-Morus-Morus bassanus,Species,2
northern gannet,northern gannet,wildbird,Northern gannet,Morus bassanus,Suliformes-Sulidae-Morus-Morus bassanus,Species,23
nothern gannet,nothern gannet,wildbird,Northern gannet,Morus bassanus,Suliformes-Sulidae-Morus-Morus bassanus,Species,1
cattle egret,cattle egret,wildbird,NA,NA,Pelecaniformes-Ardeidae-Bubulcus-NA,Genus,1
brown booby,brown booby,wildbird,Brown booby,Sula leucogaster,Suliformes-Sulidae-Sula-Sula leucogaster,Species,1
sula leucogaster,sula leucogaster,wildbird,Brown booby,Sula leucogaster,Suliformes-Sulidae-Sula-Sula leucogaster,Species,1
